oui,isPrivate,companyName,companyAddress,countryCode,assignmentBlockSize,dateCreated,dateUpdated
00:00:4E,0,Ampex Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:4F,0,"Logicraft, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:50,0,Radisys Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:51,0,Hob Electronic Gmbh & Co. Kg,,,MA-L,2026-07-05,2026-07-05
00:00:52,0,"Intrusion.com, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:53,0,Compucorp,,,MA-L,2026-07-05,2026-07-05
00:00:54,0,Schneider Electric,,,MA-L,2026-07-05,2026-07-05
00:00:55,0,Commissariat A L`Energie Atom.,,,MA-L,2026-07-05,2026-07-05
00:00:56,0,Dr. B. Struck,,,MA-L,2026-07-05,2026-07-05
00:00:57,0,Scitex Corporation Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:58,0,Racore Computer Products Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:59,0,Hellige GMBH,,,MA-L,2026-07-05,2026-07-05
00:00:5A,0,SysKonnect GmbH,,,MA-L,2026-07-05,2026-07-05
00:00:5B,0,Eltec Elektronik Ag,,,MA-L,2026-07-05,2026-07-05
00:00:5C,0,Telematics International Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:5D,0,Cs Telecom,,,MA-L,2026-07-05,2026-07-05
00:00:5E,0,"ICANN, IANA Department",,,MA-L,2026-07-05,2026-07-05
00:00:5F,0,"Sumitomo Electric Industries, Ltd",,,MA-L,2026-07-05,2026-07-05
00:00:60,0,Kontron Europe GmbH,,,MA-L,2026-07-05,2026-07-05
00:00:61,0,Gateway Communications,,,MA-L,2026-07-05,2026-07-05
00:00:62,0,Bull Hn Information Systems,,,MA-L,2026-07-05,2026-07-05
00:00:63,0,Barco Control Rooms Gmbh,,,MA-L,2026-07-05,2026-07-05
00:00:64,0,Yokogawa Digital Computer Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:65,0,Network General Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:66,0,"Talaris Systems, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:67,0,"Soft * Rite, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:68,0,Rosemount Controls,,,MA-L,2026-07-05,2026-07-05
00:00:69,0,Concord Communications Inc,,,MA-L,2026-07-05,2026-07-05
00:00:6A,0,Computer Consoles Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:6B,0,Silicon Graphics,,,MA-L,2026-07-05,2026-07-05
00:00:6C,0,Schneider Electric,,,MA-L,2026-07-05,2026-07-05
00:00:6D,0,"Cray Communications, Ltd.",,,MA-L,2026-07-05,2026-07-05
00:00:6E,0,Artisoft Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:6F,0,Madge Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:70,0,Hcl Limited,,,MA-L,2026-07-05,2026-07-05
00:00:71,0,Adra Systems Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:72,0,Miniware Technology,,,MA-L,2026-07-05,2026-07-05
00:00:73,0,Siecor Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:74,0,Ricoh Company Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:75,0,Nortel Networks,,,MA-L,2026-07-05,2026-07-05
00:00:76,0,Abekas Video System,,,MA-L,2026-07-05,2026-07-05
00:00:77,0,Interphase Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:78,0,Labtam Limited,,,MA-L,2026-07-05,2026-07-05
00:00:79,0,Networth Incorporated,,,MA-L,2026-07-05,2026-07-05
00:00:7A,0,Dana Computer Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:7B,0,Research Machines,,,MA-L,2026-07-05,2026-07-05
00:00:7C,0,Ampere Incorporated,,,MA-L,2026-07-05,2026-07-05
00:00:7D,0,Oracle Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:7E,0,Clustrix Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:7F,0,Linotype-Hell Ag,,,MA-L,2026-07-05,2026-07-05
00:00:80,0,Cray Communications A/S,,,MA-L,2026-07-05,2026-07-05
00:00:81,0,Bay Networks,,,MA-L,2026-07-05,2026-07-05
00:00:82,0,Lectra Systemes Sa,,,MA-L,2026-07-05,2026-07-05
00:00:83,0,Tadpole Technology Plc,,,MA-L,2026-07-05,2026-07-05
00:00:84,0,Supernet,,,MA-L,2026-07-05,2026-07-05
00:00:85,0,Canon Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:86,0,Megahertz Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:87,0,"Hitachi, Ltd.",,,MA-L,2026-07-05,2026-07-05
00:00:88,0,Brocade Communications Systems LLC,,,MA-L,2026-07-05,2026-07-05
00:00:89,0,Cayman Systems Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:8A,0,Datahouse Information Systems,,,MA-L,2026-07-05,2026-07-05
00:00:8B,0,Infotron,,,MA-L,2026-07-05,2026-07-05
00:00:8C,0,Alloy Computer Products (Australia) Pty Ltd,,,MA-L,2026-07-05,2026-07-05
00:00:8D,0,Cryptek Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:8E,0,"Solbourne Computer, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:8F,0,Raytheon,,,MA-L,2026-07-05,2026-07-05
00:00:90,0,Microcom,,,MA-L,2026-07-05,2026-07-05
00:00:91,0,Anritsu Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:92,0,Cogent Data Technologies,,,MA-L,2026-07-05,2026-07-05
00:00:93,0,Proteon Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:94,0,Asante Technologies,,,MA-L,2026-07-05,2026-07-05
00:00:95,0,Sony Tektronix Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:96,0,Marconi Electronics Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:97,0,Dell EMC,,,MA-L,2026-07-05,2026-07-05
00:00:98,0,Crosscomm Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:99,0,"Mtx, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:9A,0,Rc Computer A/S,,,MA-L,2026-07-05,2026-07-05
00:00:9B,0,"Information International, Inc",,,MA-L,2026-07-05,2026-07-05
00:00:9C,0,Rolm Mil-Spec Computers,,,MA-L,2026-07-05,2026-07-05
00:00:9D,0,Locus Computing Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:9E,0,Marli S.A.,,,MA-L,2026-07-05,2026-07-05
00:00:9F,0,Ameristar Technologies Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:A0,0,"SANYO Electric Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:00:A1,0,Marquette Electric Co.,,,MA-L,2026-07-05,2026-07-05
00:00:A2,0,Bay Networks,,,MA-L,2026-07-05,2026-07-05
00:00:A3,0,Network Application Technology,,,MA-L,2026-07-05,2026-07-05
00:00:A4,0,Acorn Computers Limited,,,MA-L,2026-07-05,2026-07-05
00:00:A5,0,Tattile SRL,,,MA-L,2026-07-05,2026-07-05
00:00:A6,0,Network General Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:A7,0,Network Computing Devices Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:A8,0,Stratus Technologies,,,MA-L,2026-07-05,2026-07-05
00:00:A9,0,Network Systems Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:AA,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:AB,0,Logic Modeling Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:AC,0,Conware Computer Consulting,,,MA-L,2026-07-05,2026-07-05
00:00:AD,0,Bruker Instruments Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:AE,0,Dassault Electronique,,,MA-L,2026-07-05,2026-07-05
00:00:AF,0,"Canberra Industries, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:B0,0,Rnd-Rad Network Devices,,,MA-L,2026-07-05,2026-07-05
00:00:B1,0,Alpha Micro,,,MA-L,2026-07-05,2026-07-05
00:00:B2,0,"Televideo Systems, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:B3,0,Cimlinc Incorporated,,,MA-L,2026-07-05,2026-07-05
00:00:B4,0,Edimax Technology Co. Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:B5,0,Datability Software Sys. Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:B6,0,Micro-Matic Research,,,MA-L,2026-07-05,2026-07-05
00:00:B7,0,Dove Computer Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:B8,0,"Seikosha Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:00:B9,0,Mcdonnell Douglas Computer Sys,,,MA-L,2026-07-05,2026-07-05
00:00:BA,0,"Siig, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:BB,0,Tri-Data,,,MA-L,2026-07-05,2026-07-05
00:00:BC,0,Rockwell Automation,,,MA-L,2026-07-05,2026-07-05
00:00:BD,0,"RYOSEI, Ltd.",,,MA-L,2026-07-05,2026-07-05
00:00:BE,0,The Nti Group,,,MA-L,2026-07-05,2026-07-05
00:00:BF,0,Symmetric Computer Systems,,,MA-L,2026-07-05,2026-07-05
00:00:C0,0,Western Digital Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:C1,0,Madge Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:C2,0,Information Presentation Tech.,,,MA-L,2026-07-05,2026-07-05
00:00:C3,0,Harris Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:C4,0,Waters Div. Of Millipore,,,MA-L,2026-07-05,2026-07-05
00:00:C5,0,Commscope,,,MA-L,2026-07-05,2026-07-05
00:00:C6,0,Eon Systems,,,MA-L,2026-07-05,2026-07-05
00:00:C7,0,Arix Corporation,,,MA-L,2026-07-05,2026-07-05
